,subjects,usn,names,internal1,internal2,internal3,component,total,external,final
0,CN,1MS15MCA01,William,27,19,21,14,38,5,43
1,OOMD,1MS15MCA01,William,26,28,3,12,39,8,47
2,UNIX,1MS15MCA01,William,14,7,0,19,29,25,54
3,PYTHON,1MS15MCA01,William,13,16,8,16,30,31,61
4,DM,1MS15MCA01,William,22,18,25,14,37,16,53
5,J2EE,1MS15MCA01,William,9,24,22,9,32,10,42
6,CN,1MS15MCA02,Crystal,21,10,5,12,27,47,74
7,OOMD,1MS15MCA02,Crystal,11,21,25,17,40,17,57
8,UNIX,1MS15MCA02,Crystal,19,27,28,9,36,18,54
9,PYTHON,1MS15MCA02,Crystal,22,17,8,18,37,35,72
10,DM,1MS15MCA02,Crystal,14,26,7,8,28,13,41
11,J2EE,1MS15MCA02,Crystal,25,14,27,18,44,15,59
12,CN,1MS15MCA03,Rebecca,25,24,26,7,32,39,71
13,OOMD,1MS15MCA03,Rebecca,9,14,13,16,29,43,72
14,UNIX,1MS15MCA03,Rebecca,0,27,3,12,27,26,53
15,PYTHON,1MS15MCA03,Rebecca,0,13,4,7,15,15,30
16,DM,1MS15MCA03,Rebecca,14,5,16,8,23,46,69
17,J2EE,1MS15MCA03,Rebecca,10,7,3,13,21,39,60
18,CN,1MS15MCA04,Gregory,10,23,28,10,35,46,81
19,OOMD,1MS15MCA04,Gregory,30,22,0,7,33,37,70
20,UNIX,1MS15MCA04,Gregory,13,5,1,13,22,47,69
21,PYTHON,1MS15MCA04,Gregory,12,25,28,11,37,32,69
22,DM,1MS15MCA04,Gregory,21,30,1,13,38,30,68
23,J2EE,1MS15MCA04,Gregory,1,2,8,8,13,39,52
24,CN,1MS15MCA05,Heather,20,23,28,7,32,9,41
25,OOMD,1MS15MCA05,Heather,4,14,16,15,30,7,37
26,UNIX,1MS15MCA05,Heather,5,28,3,15,31,10,41
27,PYTHON,1MS15MCA05,Heather,23,30,9,14,40,21,61
28,DM,1MS15MCA05,Heather,25,7,25,11,36,34,70
29,J2EE,1MS15MCA05,Heather,24,12,22,20,43,40,83
30,CN,1MS15MCA06,Mark,26,30,25,13,41,32,73
31,OOMD,1MS15MCA06,Mark,27,16,23,7,32,26,58
32,UNIX,1MS15MCA06,Mark,23,22,20,8,30,26,56
33,PYTHON,1MS15MCA06,Mark,23,21,5,12,34,29,63
34,DM,1MS15MCA06,Mark,29,6,19,9,33,28,61
35,J2EE,1MS15MCA06,Mark,22,11,8,11,27,36,63
36,CN,1MS15MCA07,Dennis,23,10,17,16,36,46,82
37,OOMD,1MS15MCA07,Dennis,20,23,17,9,30,28,58
38,UNIX,1MS15MCA07,Dennis,19,9,11,16,31,41,72
39,PYTHON,1MS15MCA07,Dennis,3,16,15,7,22,30,52
40,DM,1MS15MCA07,Dennis,17,24,11,9,29,26,55
41,J2EE,1MS15MCA07,Dennis,20,30,18,20,45,15,60
42,CN,1MS15MCA08,Timothy,25,26,9,13,38,12,50
43,OOMD,1MS15MCA08,Timothy,22,26,9,19,43,11,54
44,UNIX,1MS15MCA08,Timothy,7,15,29,15,37,14,51
45,PYTHON,1MS15MCA08,Timothy,24,2,7,10,25,22,47
46,DM,1MS15MCA08,Timothy,27,12,23,7,32,31,63
47,J2EE,1MS15MCA08,Timothy,12,26,3,14,33,12,45
48,CN,1MS15MCA09,Melissa,6,7,7,10,17,23,40
49,OOMD,1MS15MCA09,Melissa,3,19,6,11,23,11,34
50,UNIX,1MS15MCA09,Melissa,24,20,11,16,38,29,67
51,PYTHON,1MS15MCA09,Melissa,2,12,9,9,19,13,32
52,DM,1MS15MCA09,Melissa,13,28,4,13,33,15,48
53,J2EE,1MS15MCA09,Melissa,19,14,21,18,38,50,88
54,CN,1MS15MCA10,Kelli,10,15,20,12,29,25,54
55,OOMD,1MS15MCA10,Kelli,25,0,30,18,45,7,52
56,UNIX,1MS15MCA10,Kelli,21,19,12,19,39,22,61
57,PYTHON,1MS15MCA10,Kelli,3,2,20,7,18,27,45
58,DM,1MS15MCA10,Kelli,11,14,30,7,29,41,70
59,J2EE,1MS15MCA10,Kelli,13,29,18,9,32,17,49
60,CN,1MS15MCA11,Joshua,13,22,30,20,46,12,58
61,OOMD,1MS15MCA11,Joshua,9,3,14,7,18,28,46
